frame,x,y,z,qx,qy,qz,qw
0,320,240,0.8999999761581421,0.07892939448356628,-0.27421724796295166,-0.7223770618438721,0.629878044128418
1,320,240,0.8999999761581421,0.07892662286758423,-0.27421483397483826,-0.7223774194717407,0.6298791766166687
2,320,240,0.8999999761581421,0.07892096042633057,-0.2742099165916443,-0.7223780155181885,0.6298812627792358
3,320,240,0.8999999761581421,0.07891255617141724,-0.2742025852203369,-0.7223789095878601,0.6298844814300537
4,320,240,0.8999999761581421,0.07890138030052185,-0.27419278025627136,-0.7223801612854004,0.6298887729644775
5,320,240,0.8999999761581421,0.07888737320899963,-0.2741805911064148,-0.7223817110061646,0.6298940181732178
6,320,240,0.8999999761581421,0.07887053489685059,-0.27416595816612244,-0.7223834991455078,0.6299004554748535
7,320,240,0.8999999761581421,0.07885092496871948,-0.2741488218307495,-0.7223856449127197,0.6299078464508057
8,320,240,0.8999999761581421,0.07882854342460632,-0.2741292715072632,-0.7223880887031555,0.6299164295196533
9,320,240,0.8999999761581421,0.07880327105522156,-0.27410730719566345,-0.72239089012146,0.6299258470535278
10,320,240,0.8999999761581421,0.07877519726753235,-0.27408283948898315,-0.7223939299583435,0.6299365758895874
11,320,240,0.8999999761581421,0.07874441146850586,-0.2740558981895447,-0.7223972678184509,0.6299483180046082
12,320,240,0.8999999761581421,0.07871073484420776,-0.2740265727043152,-0.722400963306427,0.6299610137939453
13,320,240,0.8999999761581421,0.07867428660392761,-0.2739948034286499,-0.7224048972129822,0.6299748420715332
14,320,240,0.8999999761581421,0.07863503694534302,-0.27396059036254883,-0.722409188747406,0.6299898028373718
15,320,240,0.8999999761581421,0.07859298586845398,-0.2739238739013672,-0.7224137783050537,0.6300057172775269
16,320,240,0.8999999761581421,0.07854807376861572,-0.2738848030567169,-0.7224186658859253,0.6300227046012878
17,320,240,0.8999999761581421,0.07850050926208496,-0.27384325861930847,-0.722423791885376,0.6300407648086548
18,320,240,0.8999999761581421,0.07845005393028259,-0.27379921078681946,-0.7224292755126953,0.6300599575042725
19,320,240,0.8999999761581421,0.0783967673778534,-0.27375271916389465,-0.7224351167678833,0.6300801038742065
20,320,240,0.8999999761581421,0.07834064960479736,-0.2737038731575012,-0.7224411964416504,0.6301013231277466
21,320,240,0.8999999761581421,0.07828176021575928,-0.27365240454673767,-0.7224476337432861,0.6301237344741821
22,320,240,0.8999999761581421,0.07822006940841675,-0.27359867095947266,-0.7224542498588562,0.6301470398902893
23,320,240,0.8999999761581421,0.07815557718276978,-0.2735424041748047,-0.7224612236022949,0.630171537399292
24,320,240,0.8999999761581421,0.07808831334114075,-0.2734837532043457,-0.7224684953689575,0.6301969289779663
25,320,240,0.8999999761581421,0.0780181884765625,-0.27342259883880615,-0.722476065158844,0.6302235126495361
26,320,240,0.8999999761581421,0.07794535160064697,-0.2733590006828308,-0.7224839329719543,0.6302509903907776
27,320,240,0.8999999761581421,0.07786965370178223,-0.27329301834106445,-0.7224920988082886,0.6302796602249146
28,320,240,0.8999999761581421,0.07779106497764587,-0.27322447299957275,-0.7225005626678467,0.6303093433380127
29,320,240,0.8999999761581421,0.07770982384681702,-0.27315354347229004,-0.7225093245506287,0.6303400993347168
30,320,240,0.8999999761581421,0.07762560248374939,-0.27308014035224915,-0.7225183248519897,0.6303719282150269
31,320,240,0.8999999761581421,0.07753869891166687,-0.27300429344177246,-0.7225276827812195,0.6304047107696533
32,320,240,0.8999999761581421,0.07744899392127991,-0.2729259431362152,-0.7225372791290283,0.6304386854171753
33,320,240,0.8999999761581421,0.07735642790794373,-0.2728452682495117,-0.7225472331047058,0.6304736137390137
34,320,240,0.8999999761581421,0.07726114988327026,-0.2727620601654053,-0.7225574254989624,0.630509614944458
35,320,240,0.8999999761581421,0.0771629810333252,-0.2726764678955078,-0.7225679159164429,0.6305466294288635
36,320,240,0.8999999761581421,0.07706204056739807,-0.2725883722305298,-0.7225787043571472,0.630584716796875
37,320,240,0.8999999761581421,0.0769582986831665,-0.2724977731704712,-0.7225897312164307,0.6306238770484924
38,320,240,0.8999999761581421,0.0768517255783081,-0.2724047601222992,-0.722601056098938,0.6306641101837158
39,320,240,0.8999999761581421,0.07674232125282288,-0.27230924367904663,-0.7226126790046692,0.6307053565979004
40,320,240,0.8999999761581421,0.07663017511367798,-0.27221137285232544,-0.7226245999336243,0.6307476162910461
41,320,240,0.8999999761581421,0.07651513814926147,-0.2721109986305237,-0.7226368188858032,0.6307908296585083
42,320,240,0.8999999761581421,0.0763973593711853,-0.27200818061828613,-0.7226492762565613,0.630835235118866
43,320,240,0.8999999761581421,0.07627680897712708,-0.2719028890132904,-0.7226619720458984,0.63088059425354
44,320,240,0.8999999761581421,0.07615333795547485,-0.2717950940132141,-0.7226750254631042,0.6309270262718201
45,320,240,0.8999999761581421,0.07602712512016296,-0.2716849446296692,-0.7226883172988892,0.630974531173706
46,320,240,0.8999999761581421,0.07589802145957947,-0.2715722322463989,-0.722701907157898,0.6310230493545532
47,320,240,0.8999999761581421,0.07576626539230347,-0.27145707607269287,-0.7227157354354858,0.6310725808143616
48,320,240,0.8999999761581421,0.07563158869743347,-0.2713395953178406,-0.7227298021316528,0.6311230659484863
49,320,240,0.8999999761581421,0.07549414038658142,-0.2712196111679077,-0.7227441668510437,0.6311746835708618
50,320,240,0.8999999761581421,0.07535389065742493,-0.2710970640182495,-0.7227588295936584,0.6312272548675537
51,320,240,0.8999999761581421,0.07521086931228638,-0.2709721326828003,-0.7227737307548523,0.6312808990478516
52,320,240,0.8999999761581421,0.07506498694419861,-0.2708447575569153,-0.7227888703346252,0.6313356161117554
53,320,240,0.8999999761581421,0.07491624355316162,-0.2707148790359497,-0.7228043079376221,0.6313912868499756
54,320,240,0.8999999761581421,0.07476481795310974,-0.27058249711990356,-0.722819983959198,0.6314480304718018
55,320,240,0.8999999761581421,0.07461044192314148,-0.27044767141342163,-0.7228359580039978,0.6315058469772339
56,320,240,0.8999999761581421,0.0744534432888031,-0.2703104317188263,-0.7228521108627319,0.6315644979476929
57,320,240,0.8999999761581421,0.07429343461990356,-0.2701706886291504,-0.7228686213493347,0.6316243410110474
58,320,240,0.8999999761581421,0.07413074374198914,-0.2700285315513611,-0.7228853106498718,0.6316851377487183
59,320,240,0.8999999761581421,0.07396519184112549,-0.2698838710784912,-0.722902238368988,0.6317469477653503
60,320,240,0.8999999761581421,0.07379689812660217,-0.26973676681518555,-0.7229194641113281,0.6318098306655884
61,320,240,0.8999999761581421,0.07362571358680725,-0.2695872187614441,-0.7229369282722473,0.631873607635498
62,320,240,0.8999999761581421,0.07345175743103027,-0.2694350779056549,-0.7229546308517456,0.6319385170936584
63,320,240,0.8999999761581421,0.07327502965927124,-0.2692805528640747,-0.722972571849823,0.6320043206214905
64,320,240,0.8999999761581421,0.07309535145759583,-0.2691235840320587,-0.7229907512664795,0.6320712566375732
65,320,240,0.8999999761581421,0.0729130208492279,-0.26896411180496216,-0.7230091691017151,0.6321390867233276
66,320,240,0.8999999761581421,0.07272779941558838,-0.2688021957874298,-0.7230278253555298,0.632207989692688
67,320,240,0.8999999761581421,0.0725398063659668,-0.2686378061771393,-0.7230466604232788,0.6322778463363647
68,320,240,0.8999999761581421,0.072348952293396,-0.2684709429740906,-0.7230657935142517,0.6323487162590027
69,320,240,0.8999999761581421,0.07215535640716553,-0.2683016359806061,-0.7230851650238037,0.632420539855957
70,320,240,0.8999999761581421,0.07195889949798584,-0.26812970638275146,-0.72310471534729,0.6324934363365173
71,320,240,0.8999999761581421,0.07175961136817932,-0.267955482006073,-0.7231245040893555,0.632567286491394
72,320,240,0.8999999761581421,0.07155755162239075,-0.2677786350250244,-0.7231445908546448,0.6326422691345215
73,320,240,0.8999999761581421,0.07135266065597534,-0.2675993740558624,-0.7231647968292236,0.632718026638031
74,320,240,0.8999999761581421,0.07114499807357788,-0.26741766929626465,-0.7231852412223816,0.6327948570251465
75,320,240,0.8999999761581421,0.07093444466590881,-0.2672334313392639,-0.7232059240341187,0.6328727006912231
76,320,240,0.8999999761581421,0.07072114944458008,-0.26704680919647217,-0.7232268452644348,0.6329514384269714
77,320,240,0.8999999761581421,0.07050502300262451,-0.26685765385627747,-0.7232478857040405,0.6330311894416809
78,320,240,0.8999999761581421,0.07028606534004211,-0.2666660249233246,-0.7232692241668701,0.6331119537353516
79,320,240,0.8999999761581421,0.07006430625915527,-0.26647186279296875,-0.7232908010482788,0.6331937313079834
80,320,240,0.8999999761581421,0.06983968615531921,-0.26627519726753235,-0.723312497138977,0.6332764625549316
81,320,240,0.8999999761581421,0.0696122944355011,-0.2660761773586273,-0.7233344316482544,0.6333600282669067
82,320,240,0.8999999761581421,0.06938210129737854,-0.2658745348453522,-0.7233564853668213,0.6334447860717773
83,320,240,0.8999999761581421,0.06914910674095154,-0.2656705379486084,-0.7233788371086121,0.6335303783416748
84,320,240,0.8999999761581421,0.06891322135925293,-0.2654639482498169,-0.7234013080596924,0.6336169242858887
85,320,240,0.8999999761581421,0.06867459416389465,-0.2652548849582672,-0.723423957824707,0.633704423904419
86,320,240,0.8999999761581421,0.06843313574790955,-0.26504334807395935,-0.7234468460083008,0.6337929964065552
87,320,240,0.8999999761581421,0.06818893551826477,-0.2648293375968933,-0.7234699726104736,0.6338824033737183
88,320,240,0.8999999761581421,0.067941814661026,-0.26461291313171387,-0.723493218421936,0.6339727640151978
89,320,240,0.8999999761581421,0.06769192218780518,-0.2643938362598419,-0.7235167026519775,0.6340641975402832
90,320,240,0.8999999761581421,0.06743916869163513,-0.26417237520217896,-0.7235402464866638,0.6341564655303955
91,320,240,0.8999999761581421,0.06718355417251587,-0.26394832134246826,-0.7235640287399292,0.6342498064041138
92,320,240,0.8999999761581421,0.06692522764205933,-0.26372194290161133,-0.7235879302024841,0.6343439221382141
93,320,240,0.8999999761581421,0.06666401028633118,-0.2634928822517395,-0.7236120700836182,0.6344391107559204
94,320,240,0.8999999761581421,0.06640005111694336,-0.26326143741607666,-0.7236363291740417,0.6345351934432983
95,320,240,0.8999999761581421,0.06613332033157349,-0.2630274295806885,-0.7236607670783997,0.6346322298049927
96,320,240,0.8999999761581421,0.06586366891860962,-0.2627910375595093,-0.7236853241920471,0.6347301602363586
97,320,240,0.8999999761581421,0.0655912458896637,-0.26255208253860474,-0.7237101197242737,0.634829044342041
98,320,240,0.8999999761581421,0.06531596183776855,-0.2623105049133301,-0.723734974861145,0.6349289417266846
99,320,240,0.8999999761581421,0.0650378167629242,-0.2620666027069092,-0.7237600684165955,0.635029673576355
